component,N,bits,bw_mbps,mean_ms,std_ms,note
T_edge,,,,248.82439594715834,0.09714394997029092,"CLIPVisionModel(ViT-L/14-336, random)"
T_vit_prumerge,1,,,255.40794674307108,0.22686718139496162,CLIPVisionTower.forward()
T_quant,15,4,,1.8728866800665855,0.1892885767241835,MSECompressor
T_quant,19,4,,1.860873680561781,0.049254302098185945,MSECompressor
T_quant,25,4,,1.9921060651540756,0.1435788476440199,MSECompressor
T_quant,35,4,,2.2792547941207886,0.039680073498270324,MSECompressor
T_quant,50,4,,2.7759259566664696,1.7264814166315696,MSECompressor
T_quant,75,4,,3.201964944601059,0.399159321965013,MSECompressor
T_quant,96,4,,3.4944187477231026,0.18199277646827694,MSECompressor
T_quant,150,4,,4.762437921017408,0.25115617290329123,MSECompressor
T_quant,15,2,,1.681049782782793,0.10654756407481811,MSECompressor
T_quant,19,2,,1.6434937715530396,0.06592357637263956,MSECompressor
T_quant,25,2,,1.6767903603613377,0.08276833983022566,MSECompressor
T_quant,35,2,,1.8752639554440975,0.11247250934255061,MSECompressor
T_quant,50,2,,1.961431372910738,0.16864356264814476,MSECompressor
T_quant,75,2,,2.252821419388056,0.06071590685234109,MSECompressor
T_quant,96,2,,2.37713523209095,0.13535968114632865,MSECompressor
T_quant,150,2,,2.9975931718945503,0.10092883651812587,MSECompressor
T_quant,15,1,,1.6343767195940018,0.10478955224741915,MSECompressor
T_quant,19,1,,1.6185831278562546,0.10104299513919231,MSECompressor
T_quant,25,1,,1.6462792828679085,0.16143363670873687,MSECompressor
T_quant,35,1,,1.8252931907773018,0.13547168228949513,MSECompressor
T_quant,50,1,,1.8623485043644905,0.08159023804045433,MSECompressor
T_quant,75,1,,2.137052845209837,0.1472500264662889,MSECompressor
T_quant,96,1,,2.200434748083353,0.1524304476918843,MSECompressor
T_quant,150,1,,2.7190638706088066,0.12070088611977195,MSECompressor
T_tx,15,4,1,61.440000000000005,0.0,calculated
T_tx,15,4,5,12.288,0.0,calculated
T_tx,15,4,20,3.072,0.0,calculated
T_tx,15,2,1,30.720000000000002,0.0,calculated
T_tx,15,2,5,6.144,0.0,calculated
T_tx,15,2,20,1.536,0.0,calculated
T_tx,15,1,1,15.360000000000001,0.0,calculated
T_tx,15,1,5,3.072,0.0,calculated
T_tx,15,1,20,0.768,0.0,calculated
T_tx,19,4,1,77.824,0.0,calculated
T_tx,19,4,5,15.5648,0.0,calculated
T_tx,19,4,20,3.8912,0.0,calculated
T_tx,19,2,1,38.912,0.0,calculated
T_tx,19,2,5,7.7824,0.0,calculated
T_tx,19,2,20,1.9456,0.0,calculated
T_tx,19,1,1,19.456,0.0,calculated
T_tx,19,1,5,3.8912,0.0,calculated
T_tx,19,1,20,0.9728,0.0,calculated
T_tx,25,4,1,102.4,0.0,calculated
T_tx,25,4,5,20.48,0.0,calculated
T_tx,25,4,20,5.12,0.0,calculated
T_tx,25,2,1,51.2,0.0,calculated
T_tx,25,2,5,10.24,0.0,calculated
T_tx,25,2,20,2.56,0.0,calculated
T_tx,25,1,1,25.6,0.0,calculated
T_tx,25,1,5,5.12,0.0,calculated
T_tx,25,1,20,1.28,0.0,calculated
T_tx,35,4,1,143.35999999999999,0.0,calculated
T_tx,35,4,5,28.672,0.0,calculated
T_tx,35,4,20,7.168,0.0,calculated
T_tx,35,2,1,71.67999999999999,0.0,calculated
T_tx,35,2,5,14.336,0.0,calculated
T_tx,35,2,20,3.584,0.0,calculated
T_tx,35,1,1,35.839999999999996,0.0,calculated
T_tx,35,1,5,7.168,0.0,calculated
T_tx,35,1,20,1.792,0.0,calculated
T_tx,50,4,1,204.8,0.0,calculated
T_tx,50,4,5,40.96,0.0,calculated
T_tx,50,4,20,10.24,0.0,calculated
T_tx,50,2,1,102.4,0.0,calculated
T_tx,50,2,5,20.48,0.0,calculated
T_tx,50,2,20,5.12,0.0,calculated
T_tx,50,1,1,51.2,0.0,calculated
T_tx,50,1,5,10.24,0.0,calculated
T_tx,50,1,20,2.56,0.0,calculated
T_tx,75,4,1,307.2,0.0,calculated
T_tx,75,4,5,61.440000000000005,0.0,calculated
T_tx,75,4,20,15.360000000000001,0.0,calculated
T_tx,75,2,1,153.6,0.0,calculated
T_tx,75,2,5,30.720000000000002,0.0,calculated
T_tx,75,2,20,7.680000000000001,0.0,calculated
T_tx,75,1,1,76.8,0.0,calculated
T_tx,75,1,5,15.360000000000001,0.0,calculated
T_tx,75,1,20,3.8400000000000003,0.0,calculated
T_tx,96,4,1,393.216,0.0,calculated
T_tx,96,4,5,78.6432,0.0,calculated
T_tx,96,4,20,19.6608,0.0,calculated
T_tx,96,2,1,196.608,0.0,calculated
T_tx,96,2,5,39.3216,0.0,calculated
T_tx,96,2,20,9.8304,0.0,calculated
T_tx,96,1,1,98.304,0.0,calculated
T_tx,96,1,5,19.6608,0.0,calculated
T_tx,96,1,20,4.9152,0.0,calculated
T_tx,150,4,1,614.4,0.0,calculated
T_tx,150,4,5,122.88000000000001,0.0,calculated
T_tx,150,4,20,30.720000000000002,0.0,calculated
T_tx,150,2,1,307.2,0.0,calculated
T_tx,150,2,5,61.440000000000005,0.0,calculated
T_tx,150,2,20,15.360000000000001,0.0,calculated
T_tx,150,1,1,153.6,0.0,calculated
T_tx,150,1,5,30.720000000000002,0.0,calculated
T_tx,150,1,20,7.680000000000001,0.0,calculated
