component,N,bits,bw_mbps,mean_ms,std_ms,note
T_edge,,,,231.0187777700049,0.14456165882677421,"CLIPVisionModel(ViT-L/14-336, random)"
T_vit_prumerge,4,,,240.49901364999187,0.35906663370918945,CLIPVisionTower.forward()
T_quant,15,4,,1.8008292600029563,0.4198042118010023,MSECompressor
T_quant,19,4,,1.7922313400208623,0.09129716708559614,MSECompressor
T_quant,25,4,,1.874918630007869,0.09797353774491367,MSECompressor
T_quant,35,4,,2.167445479994967,0.03969651814901615,MSECompressor
T_quant,50,4,,2.4917296699914004,0.2634291022503527,MSECompressor
T_quant,75,4,,3.0421240399914495,0.11259699786007987,MSECompressor
T_quant,96,4,,3.3740310899906945,0.18156921758577502,MSECompressor
T_quant,150,4,,4.593025990004662,0.2001118211977119,MSECompressor
T_quant,15,2,,1.6070512299961592,0.10851214593211325,MSECompressor
T_quant,19,2,,1.6259782900010578,0.09727600759035013,MSECompressor
T_quant,25,2,,1.6596235100064405,0.14554768452317213,MSECompressor
T_quant,35,2,,1.8936953500110576,0.30848958205938926,MSECompressor
T_quant,50,2,,1.884830339997734,0.0944665240082205,MSECompressor
T_quant,75,2,,2.2110832599992136,0.08777162254210273,MSECompressor
T_quant,96,2,,2.27186455999572,0.08201879986973745,MSECompressor
T_quant,150,2,,2.9564662199959457,0.31388704556863556,MSECompressor
T_quant,15,1,,1.577690519989119,0.1326725812515035,MSECompressor
T_quant,19,1,,1.5798567599881608,0.08647286859471126,MSECompressor
T_quant,25,1,,1.590359879994594,0.07553035579588879,MSECompressor
T_quant,35,1,,1.804878510006347,0.23441143607489381,MSECompressor
T_quant,50,1,,1.8507072400052493,0.27311790516255674,MSECompressor
T_quant,75,1,,2.0979569600012837,0.13170540609756848,MSECompressor
T_quant,96,1,,2.1354305899990322,0.13433374789676297,MSECompressor
T_quant,150,1,,2.657338050009912,0.12309344416270539,MSECompressor
T_tx,15,4,1,61.440000000000005,0.0,calculated
T_tx,15,4,5,12.288,0.0,calculated
T_tx,15,4,20,3.072,0.0,calculated
T_tx,15,2,1,30.720000000000002,0.0,calculated
T_tx,15,2,5,6.144,0.0,calculated
T_tx,15,2,20,1.536,0.0,calculated
T_tx,15,1,1,15.360000000000001,0.0,calculated
T_tx,15,1,5,3.072,0.0,calculated
T_tx,15,1,20,0.768,0.0,calculated
T_tx,19,4,1,77.824,0.0,calculated
T_tx,19,4,5,15.5648,0.0,calculated
T_tx,19,4,20,3.8912,0.0,calculated
T_tx,19,2,1,38.912,0.0,calculated
T_tx,19,2,5,7.7824,0.0,calculated
T_tx,19,2,20,1.9456,0.0,calculated
T_tx,19,1,1,19.456,0.0,calculated
T_tx,19,1,5,3.8912,0.0,calculated
T_tx,19,1,20,0.9728,0.0,calculated
T_tx,25,4,1,102.4,0.0,calculated
T_tx,25,4,5,20.48,0.0,calculated
T_tx,25,4,20,5.12,0.0,calculated
T_tx,25,2,1,51.2,0.0,calculated
T_tx,25,2,5,10.24,0.0,calculated
T_tx,25,2,20,2.56,0.0,calculated
T_tx,25,1,1,25.6,0.0,calculated
T_tx,25,1,5,5.12,0.0,calculated
T_tx,25,1,20,1.28,0.0,calculated
T_tx,35,4,1,143.35999999999999,0.0,calculated
T_tx,35,4,5,28.672,0.0,calculated
T_tx,35,4,20,7.168,0.0,calculated
T_tx,35,2,1,71.67999999999999,0.0,calculated
T_tx,35,2,5,14.336,0.0,calculated
T_tx,35,2,20,3.584,0.0,calculated
T_tx,35,1,1,35.839999999999996,0.0,calculated
T_tx,35,1,5,7.168,0.0,calculated
T_tx,35,1,20,1.792,0.0,calculated
T_tx,50,4,1,204.8,0.0,calculated
T_tx,50,4,5,40.96,0.0,calculated
T_tx,50,4,20,10.24,0.0,calculated
T_tx,50,2,1,102.4,0.0,calculated
T_tx,50,2,5,20.48,0.0,calculated
T_tx,50,2,20,5.12,0.0,calculated
T_tx,50,1,1,51.2,0.0,calculated
T_tx,50,1,5,10.24,0.0,calculated
T_tx,50,1,20,2.56,0.0,calculated
T_tx,75,4,1,307.2,0.0,calculated
T_tx,75,4,5,61.440000000000005,0.0,calculated
T_tx,75,4,20,15.360000000000001,0.0,calculated
T_tx,75,2,1,153.6,0.0,calculated
T_tx,75,2,5,30.720000000000002,0.0,calculated
T_tx,75,2,20,7.680000000000001,0.0,calculated
T_tx,75,1,1,76.8,0.0,calculated
T_tx,75,1,5,15.360000000000001,0.0,calculated
T_tx,75,1,20,3.8400000000000003,0.0,calculated
T_tx,96,4,1,393.216,0.0,calculated
T_tx,96,4,5,78.6432,0.0,calculated
T_tx,96,4,20,19.6608,0.0,calculated
T_tx,96,2,1,196.608,0.0,calculated
T_tx,96,2,5,39.3216,0.0,calculated
T_tx,96,2,20,9.8304,0.0,calculated
T_tx,96,1,1,98.304,0.0,calculated
T_tx,96,1,5,19.6608,0.0,calculated
T_tx,96,1,20,4.9152,0.0,calculated
T_tx,150,4,1,614.4,0.0,calculated
T_tx,150,4,5,122.88000000000001,0.0,calculated
T_tx,150,4,20,30.720000000000002,0.0,calculated
T_tx,150,2,1,307.2,0.0,calculated
T_tx,150,2,5,61.440000000000005,0.0,calculated
T_tx,150,2,20,15.360000000000001,0.0,calculated
T_tx,150,1,1,153.6,0.0,calculated
T_tx,150,1,5,30.720000000000002,0.0,calculated
T_tx,150,1,20,7.680000000000001,0.0,calculated
