dataset,category,bits,score
MME,edge,-,1505.72
MME,cloud,-,1505.72
MME,original_quant,1,1470.53
MME,original_quant,2,1492.34
MME,original_quant,4,1504.41
MME,split_base,-,1347.03
MME,split_base,1,1305.17
MME,split_base,2,1339.80
MME,split_base,4,1337.69
MME,split_plus,-,1461.99
MME,split_plus,1,1448.09
MME,split_plus,4,1465.53
SQA,original_quant,1,67.43
SQA,original_quant,2,67.33
SQA,original_quant,4,67.72
SQA,edge,-,67.97
SQA,cloud,-,67.97
SQA,split_base,-,68.27
SQA,split_base,1,68.32
SQA,split_base,2,68.47
SQA,split_base,4,68.42
SQA,split_plus,-,68.82
SQA,split_plus,1,67.82
SQA,split_plus,2,68.42
SQA,split_plus,4,68.86
POPE,original_quant,1,86.56
POPE,original_quant,2,86.42
POPE,original_quant,4,87.04
POPE,edge,-,86.88
POPE,cloud,-,86.88
POPE,split_base,-,79.03
POPE,split_base,1,78.39
POPE,split_base,2,78.62
POPE,split_base,4,78.84
POPE,split_plus,-,84.63
POPE,split_plus,1,85.05
POPE,split_plus,2,84.98
POPE,split_plus,4,84.79
TextVQA,edge,-,58.28
TextVQA,cloud,-,58.28
TextVQA,original_quant,1,56.66
TextVQA,original_quant,2,57.99
TextVQA,original_quant,4,58.05
TextVQA,split_base,-,55.83
TextVQA,split_base,1,54.53
TextVQA,split_base,2,55.74
TextVQA,split_base,4,55.92
TextVQA,split_plus,-,56.12
TextVQA,split_plus,1,54.92
TextVQA,split_plus,2,56.01
TextVQA,split_plus,4,56.32
VQAv2,edge,-,77.70
VQAv2,cloud,-,77.70
VQAv2,original_quant,1,76.67
VQAv2,original_quant,2,77.57
VQAv2,original_quant,4,77.70
VQAv2,split_base,-,71.14
VQAv2,split_base,1,69.52
VQAv2,split_base,2,70.83
VQAv2,split_base,4,71.15
VQAv2,split_plus,-,76.04
VQAv2,split_plus,1,74.72
VQAv2,split_plus,2,75.80
VQAv2,split_plus,4,76.06
MMBench,edge,-,73.70
MMBench,cloud,-,73.70
MMBench,original_quant,1,73.00
MMBench,original_quant,2,73.82
MMBench,original_quant,4,73.82
MMBench,split_base,-,70.48
MMBench,split_base,1,69.82
MMBench,split_base,2,70.82
MMBench,split_base,4,70.53
MMBench,split_plus,-,72.26
MMBench,split_plus,1,70.69
MMBench,split_plus,2,71.99
MMBench,split_plus,4,72.29
