method,image_idx,ratio,n_topk,n_spatial,n_out
advanced,0,0.203125,117,0,118
advanced,1,0.19618055555555555,113,0,114
advanced,2,0.21180555555555555,122,0,123
advanced,3,0.2204861111111111,127,0,128
advanced,4,0.19791666666666666,114,0,115
advanced,5,0.21354166666666666,123,0,124
advanced,6,0.203125,117,0,118
advanced,7,0.21180555555555555,122,0,123
advanced,8,0.18229166666666666,105,0,106
advanced,9,0.20833333333333334,120,0,121
advanced,10,0.21006944444444445,121,0,122
advanced,11,0.21875,126,0,127
advanced,12,0.2170138888888889,125,0,126
advanced,13,0.2152777777777778,124,0,125
advanced,14,0.2152777777777778,124,0,125
advanced,15,0.21875,126,0,127
advanced,16,0.21354166666666666,123,0,124
advanced,17,0.2204861111111111,127,0,128
advanced,18,0.21354166666666666,123,0,124
advanced,19,0.21354166666666666,123,0,124
advanced,20,0.1909722222222222,110,0,111
advanced,21,0.1875,108,0,109
advanced,22,0.19791666666666666,114,0,115
advanced,23,0.19791666666666666,114,0,115
advanced,24,0.17708333333333334,102,0,103
advanced,25,0.2170138888888889,125,0,126
advanced,26,0.19791666666666666,114,0,115
advanced,27,0.17881944444444445,103,0,104
advanced,28,0.19618055555555555,113,0,114
advanced,29,0.1996527777777778,115,0,116
advanced,30,0.203125,117,0,118
advanced,31,0.1996527777777778,115,0,116
advanced,32,0.19791666666666666,114,0,115
advanced,33,0.19444444444444445,112,0,113
advanced,34,0.2065972222222222,119,0,120
advanced,35,0.1875,108,0,109
advanced,36,0.1892361111111111,109,0,110
advanced,37,0.19618055555555555,113,0,114
advanced,38,0.1701388888888889,98,0,99
advanced,39,0.19444444444444445,112,0,113
advanced,40,0.1892361111111111,109,0,110
advanced,41,0.2065972222222222,119,0,120
advanced,42,0.1753472222222222,101,0,102
advanced,43,0.19270833333333334,111,0,112
advanced,44,0.19270833333333334,111,0,112
advanced,45,0.2152777777777778,124,0,125
advanced,46,0.1753472222222222,101,0,102
advanced,47,0.1840277777777778,106,0,107
advanced,48,0.203125,117,0,118
advanced,49,0.2013888888888889,116,0,117
advanced,50,0.1875,108,0,109
advanced,51,0.18055555555555555,104,0,105
advanced,52,0.203125,117,0,118
advanced,53,0.1909722222222222,110,0,111
advanced,54,0.1840277777777778,106,0,107
advanced,55,0.19444444444444445,112,0,113
advanced,56,0.1892361111111111,109,0,110
advanced,57,0.18055555555555555,104,0,105
advanced,58,0.17881944444444445,103,0,104
advanced,59,0.2013888888888889,116,0,117
