method,image_idx,ratio,n_topk,n_spatial,n_out
plus,0,0.21180555555555555,122,454,577
plus,1,0.17708333333333334,102,474,577
plus,2,0.16319444444444445,94,240,335
plus,3,0.1909722222222222,110,465,576
plus,4,0.1753472222222222,101,474,576
plus,5,0.19618055555555555,113,462,576
plus,6,0.19618055555555555,113,463,577
plus,7,0.2065972222222222,119,457,577
plus,8,0.2170138888888889,125,451,577
plus,9,0.1701388888888889,98,478,577
plus,10,0.19791666666666666,114,461,576
plus,11,0.21006944444444445,121,454,576
plus,12,0.2013888888888889,116,459,576
plus,13,0.1753472222222222,101,475,577
plus,14,0.19618055555555555,113,462,576
plus,15,0.19618055555555555,113,462,576
plus,16,0.21354166666666666,123,453,577
plus,17,0.1892361111111111,109,466,576
plus,18,0.18055555555555555,104,472,577
plus,19,0.21006944444444445,121,455,577
plus,20,0.19270833333333334,111,464,576
plus,21,0.18055555555555555,104,472,577
plus,22,0.21180555555555555,122,453,576
plus,23,0.17881944444444445,103,473,577
plus,24,0.2204861111111111,127,448,576
plus,25,0.1840277777777778,106,469,576
plus,26,0.1579861111111111,91,239,331
plus,27,0.17881944444444445,103,472,576
plus,28,0.19791666666666666,114,461,576
plus,29,0.19444444444444445,112,463,576
plus,30,0.1736111111111111,100,476,577
plus,31,0.19444444444444445,112,463,576
plus,32,0.1857638888888889,107,469,577
plus,33,0.19791666666666666,114,461,576
plus,34,0.19791666666666666,114,461,576
plus,35,0.19618055555555555,113,463,577
plus,36,0.21006944444444445,121,455,577
plus,37,0.1909722222222222,110,466,577
plus,38,0.1736111111111111,100,475,576
plus,39,0.203125,117,458,576
plus,40,0.18229166666666666,105,471,577
plus,41,0.19270833333333334,111,464,576
plus,42,0.1996527777777778,115,461,577
plus,43,0.2065972222222222,119,456,576
plus,44,0.19270833333333334,111,464,576
plus,45,0.1684027777777778,97,478,576
plus,46,0.2152777777777778,124,451,576
plus,47,0.21180555555555555,122,453,576
plus,48,0.2048611111111111,118,458,577
plus,49,0.1840277777777778,106,469,576
plus,50,0.1857638888888889,107,468,576
plus,51,0.1909722222222222,110,465,576
plus,52,0.1875,108,467,576
plus,53,0.21006944444444445,121,455,577
plus,54,0.2170138888888889,125,450,576
plus,55,0.21006944444444445,121,454,576
plus,56,0.1753472222222222,101,475,577
plus,57,0.2048611111111111,118,457,576
plus,58,0.2048611111111111,118,457,576
plus,59,0.19270833333333334,111,465,577
plus,60,0.18229166666666666,105,470,576
plus,61,0.18229166666666666,105,471,577
plus,62,0.19791666666666666,114,462,577
plus,63,0.19444444444444445,112,464,577
plus,64,0.1753472222222222,101,474,576
plus,65,0.203125,117,458,576
plus,66,0.1892361111111111,109,466,576
plus,67,0.21354166666666666,123,452,576
plus,68,0.1701388888888889,98,477,576
plus,69,0.2152777777777778,124,451,576
plus,70,0.1996527777777778,115,461,577
plus,71,0.2013888888888889,116,460,577
plus,72,0.2170138888888889,125,451,577
