image_idx,n_topk,n_spatial,n_out,ratio
0,122,454,577,0.21180555555555555
1,102,474,577,0.17708333333333334
2,94,240,335,0.16319444444444445
3,110,465,576,0.1909722222222222
4,101,474,576,0.1753472222222222
5,113,462,576,0.19618055555555555
6,113,463,577,0.19618055555555555
7,119,457,577,0.2065972222222222
8,125,451,577,0.2170138888888889
9,98,478,577,0.1701388888888889
10,114,461,576,0.19791666666666666
11,121,454,576,0.21006944444444445
12,116,459,576,0.2013888888888889
13,101,475,577,0.1753472222222222
14,113,462,576,0.19618055555555555
15,113,462,576,0.19618055555555555
16,123,453,577,0.21354166666666666
17,109,466,576,0.1892361111111111
18,104,472,577,0.18055555555555555
19,121,455,577,0.21006944444444445
20,111,464,576,0.19270833333333334
21,104,472,577,0.18055555555555555
22,122,453,576,0.21180555555555555
23,103,473,577,0.17881944444444445
24,127,448,576,0.2204861111111111
25,106,469,576,0.1840277777777778
26,91,239,331,0.1579861111111111
27,103,472,576,0.17881944444444445
28,114,461,576,0.19791666666666666
29,112,463,576,0.19444444444444445
30,100,476,577,0.1736111111111111
31,112,463,576,0.19444444444444445
32,107,469,577,0.1857638888888889
33,114,461,576,0.19791666666666666
34,114,461,576,0.19791666666666666
35,113,463,577,0.19618055555555555
36,121,455,577,0.21006944444444445
37,110,466,577,0.1909722222222222
38,100,475,576,0.1736111111111111
39,117,458,576,0.203125
40,105,471,577,0.18229166666666666
41,111,464,576,0.19270833333333334
42,115,461,577,0.1996527777777778
43,119,456,576,0.2065972222222222
44,111,464,576,0.19270833333333334
45,97,478,576,0.1684027777777778
46,124,451,576,0.2152777777777778
47,122,453,576,0.21180555555555555
48,118,458,577,0.2048611111111111
49,106,469,576,0.1840277777777778
50,107,468,576,0.1857638888888889
51,110,465,576,0.1909722222222222
52,108,467,576,0.1875
53,121,455,577,0.21006944444444445
54,125,450,576,0.2170138888888889
55,121,454,576,0.21006944444444445
56,101,475,577,0.1753472222222222
57,118,457,576,0.2048611111111111
58,118,457,576,0.2048611111111111
59,111,465,577,0.19270833333333334
60,105,470,576,0.18229166666666666
61,105,471,577,0.18229166666666666
62,114,462,577,0.19791666666666666
63,112,464,577,0.19444444444444445
64,101,474,576,0.1753472222222222
65,117,458,576,0.203125
66,109,466,576,0.1892361111111111
67,123,452,576,0.21354166666666666
68,98,477,576,0.1701388888888889
69,124,451,576,0.2152777777777778
70,115,461,577,0.1996527777777778
71,116,460,577,0.2013888888888889
72,125,451,577,0.2170138888888889
73,115,460,576,0.1996527777777778
74,121,454,576,0.21006944444444445
75,121,455,577,0.21006944444444445
76,100,475,576,0.1736111111111111
77,113,462,576,0.19618055555555555
78,124,451,576,0.2152777777777778
79,123,452,576,0.21354166666666666
80,121,454,576,0.21006944444444445
81,115,460,576,0.1996527777777778
82,107,469,577,0.1857638888888889
83,104,472,577,0.18055555555555555
84,111,464,576,0.19270833333333334
85,110,465,576,0.1909722222222222
86,127,448,576,0.2204861111111111
87,113,462,576,0.19618055555555555
88,115,460,576,0.1996527777777778
89,109,466,576,0.1892361111111111
90,118,457,576,0.2048611111111111
91,117,459,577,0.203125
92,117,458,576,0.203125
93,109,466,576,0.1892361111111111
94,125,451,577,0.2170138888888889
95,122,453,576,0.21180555555555555
96,116,459,576,0.2013888888888889
97,110,465,576,0.1909722222222222
98,105,470,576,0.18229166666666666
99,106,469,576,0.1840277777777778
100,114,462,577,0.19791666666666666
101,106,469,576,0.1840277777777778
102,111,464,576,0.19270833333333334
103,122,454,577,0.21180555555555555
104,99,476,576,0.171875
105,116,459,576,0.2013888888888889
106,116,459,576,0.2013888888888889
107,114,461,576,0.19791666666666666
108,106,469,576,0.1840277777777778
109,108,467,576,0.1875
110,114,462,577,0.19791666666666666
111,114,462,577,0.19791666666666666
112,112,463,576,0.19444444444444445
113,125,450,576,0.2170138888888889
114,112,464,577,0.19444444444444445
115,102,473,576,0.17708333333333334
116,104,471,576,0.18055555555555555
117,116,459,576,0.2013888888888889
118,126,449,576,0.21875
119,111,464,576,0.19270833333333334
120,119,456,576,0.2065972222222222
121,115,460,576,0.1996527777777778
122,107,468,576,0.1857638888888889
123,114,462,577,0.19791666666666666
124,115,460,576,0.1996527777777778
125,120,456,577,0.20833333333333334
126,120,455,576,0.20833333333333334
127,125,450,576,0.2170138888888889
128,122,453,576,0.21180555555555555
129,109,467,577,0.1892361111111111
130,123,452,576,0.21354166666666666
131,104,472,577,0.18055555555555555
132,124,451,576,0.2152777777777778
133,126,450,577,0.21875
134,126,449,576,0.21875
135,111,465,577,0.19270833333333334
136,102,473,576,0.17708333333333334
137,121,455,577,0.21006944444444445
138,118,457,576,0.2048611111111111
139,114,462,577,0.19791666666666666
140,123,453,577,0.21354166666666666
141,106,469,576,0.1840277777777778
142,121,454,576,0.21006944444444445
143,114,461,576,0.19791666666666666
144,107,469,577,0.1857638888888889
145,117,459,577,0.203125
146,118,457,576,0.2048611111111111
147,116,459,576,0.2013888888888889
148,107,468,576,0.1857638888888889
149,120,456,577,0.20833333333333334
150,131,444,576,0.22743055555555555
151,108,467,576,0.1875
152,114,461,576,0.19791666666666666
153,117,459,577,0.203125
154,107,468,576,0.1857638888888889
155,108,467,576,0.1875
156,113,462,576,0.19618055555555555
157,123,452,576,0.21354166666666666
158,109,466,576,0.1892361111111111
159,121,454,576,0.21006944444444445
160,116,459,576,0.2013888888888889
161,100,476,577,0.1736111111111111
162,127,448,576,0.2204861111111111
163,127,449,577,0.2204861111111111
164,106,469,576,0.1840277777777778
165,104,471,576,0.18055555555555555
166,112,463,576,0.19444444444444445
167,119,456,576,0.2065972222222222
168,119,457,577,0.2065972222222222
169,111,464,576,0.19270833333333334
170,123,452,576,0.21354166666666666
171,118,457,576,0.2048611111111111
172,125,450,576,0.2170138888888889
173,124,451,576,0.2152777777777778
174,122,453,576,0.21180555555555555
175,112,463,576,0.19444444444444445
176,103,473,577,0.17881944444444445
177,118,457,576,0.2048611111111111
178,112,463,576,0.19444444444444445
179,114,461,576,0.19791666666666666
180,119,457,577,0.2065972222222222
181,105,471,577,0.18229166666666666
182,112,464,577,0.19444444444444445
183,127,449,577,0.2204861111111111
184,110,466,577,0.1909722222222222
185,113,462,576,0.19618055555555555
186,122,453,576,0.21180555555555555
187,121,454,576,0.21006944444444445
188,112,463,576,0.19444444444444445
189,113,462,576,0.19618055555555555
190,120,456,577,0.20833333333333334
191,114,462,577,0.19791666666666666
192,98,478,577,0.1701388888888889
193,116,460,577,0.2013888888888889
194,112,463,576,0.19444444444444445
195,117,458,576,0.203125
196,109,467,577,0.1892361111111111
197,105,470,576,0.18229166666666666
198,108,467,576,0.1875
199,109,466,576,0.1892361111111111
200,107,468,576,0.1857638888888889
201,111,464,576,0.19270833333333334
202,113,462,576,0.19618055555555555
203,115,460,576,0.1996527777777778
204,112,463,576,0.19444444444444445
205,118,457,576,0.2048611111111111
206,111,464,576,0.19270833333333334
207,111,464,576,0.19270833333333334
208,113,463,577,0.19618055555555555
209,116,459,576,0.2013888888888889
210,126,450,577,0.21875
211,120,455,576,0.20833333333333334
212,120,455,576,0.20833333333333334
213,113,462,576,0.19618055555555555
214,115,460,576,0.1996527777777778
215,115,461,577,0.1996527777777778
216,116,459,576,0.2013888888888889
217,120,456,577,0.20833333333333334
218,107,469,577,0.1857638888888889
219,119,456,576,0.2065972222222222
220,113,462,576,0.19618055555555555
221,106,469,576,0.1840277777777778
222,114,461,576,0.19791666666666666
223,102,473,576,0.17708333333333334
224,118,457,576,0.2048611111111111
225,127,448,576,0.2204861111111111
226,108,467,576,0.1875
227,123,453,577,0.21354166666666666
228,122,453,576,0.21180555555555555
229,105,470,576,0.18229166666666666
230,108,467,576,0.1875
231,119,456,576,0.2065972222222222
232,104,472,577,0.18055555555555555
233,103,472,576,0.17881944444444445
234,103,472,576,0.17881944444444445
235,126,449,576,0.21875
236,116,460,577,0.2013888888888889
237,115,460,576,0.1996527777777778
238,112,464,577,0.19444444444444445
239,109,466,576,0.1892361111111111
240,116,459,576,0.2013888888888889
241,123,452,576,0.21354166666666666
242,107,468,576,0.1857638888888889
243,119,456,576,0.2065972222222222
244,117,459,577,0.203125
245,112,464,577,0.19444444444444445
246,114,462,577,0.19791666666666666
247,120,455,576,0.20833333333333334
248,107,468,576,0.1857638888888889
249,120,455,576,0.20833333333333334
250,120,456,577,0.20833333333333334
251,116,459,576,0.2013888888888889
252,123,453,577,0.21354166666666666
253,113,462,576,0.19618055555555555
254,118,457,576,0.2048611111111111
255,112,464,577,0.19444444444444445
256,112,463,576,0.19444444444444445
257,120,455,576,0.20833333333333334
258,108,468,577,0.1875
259,122,453,576,0.21180555555555555
260,121,455,577,0.21006944444444445
261,130,445,576,0.22569444444444445
262,104,472,577,0.18055555555555555
263,118,457,576,0.2048611111111111
264,91,244,336,0.1579861111111111
265,105,470,576,0.18229166666666666
266,107,468,576,0.1857638888888889
267,121,455,577,0.21006944444444445
268,116,459,576,0.2013888888888889
269,119,456,576,0.2065972222222222
270,98,478,577,0.1701388888888889
271,130,446,577,0.22569444444444445
272,119,456,576,0.2065972222222222
273,118,457,576,0.2048611111111111
274,113,463,577,0.19618055555555555
275,121,455,577,0.21006944444444445
276,113,463,577,0.19618055555555555
277,103,473,577,0.17881944444444445
278,107,468,576,0.1857638888888889
279,112,463,576,0.19444444444444445
280,111,464,576,0.19270833333333334
281,115,460,576,0.1996527777777778
282,115,460,576,0.1996527777777778
283,115,460,576,0.1996527777777778
284,127,449,577,0.2204861111111111
285,122,454,577,0.21180555555555555
286,110,465,576,0.1909722222222222
287,104,471,576,0.18055555555555555
288,114,461,576,0.19791666666666666
289,115,461,577,0.1996527777777778
290,126,450,577,0.21875
291,111,464,576,0.19270833333333334
292,112,463,576,0.19444444444444445
293,117,459,577,0.203125
294,116,460,577,0.2013888888888889
295,105,470,576,0.18229166666666666
296,115,460,576,0.1996527777777778
297,109,466,576,0.1892361111111111
298,122,453,576,0.21180555555555555
299,105,470,576,0.18229166666666666
300,105,471,577,0.18229166666666666
301,125,450,576,0.2170138888888889
302,109,467,577,0.1892361111111111
303,119,457,577,0.2065972222222222
304,121,455,577,0.21006944444444445
305,105,471,577,0.18229166666666666
306,119,457,577,0.2065972222222222
307,116,459,576,0.2013888888888889
308,122,454,577,0.21180555555555555
309,119,457,577,0.2065972222222222
310,104,471,576,0.18055555555555555
311,104,471,576,0.18055555555555555
312,120,455,576,0.20833333333333334
313,122,453,576,0.21180555555555555
314,125,450,576,0.2170138888888889
315,105,471,577,0.18229166666666666
316,111,465,577,0.19270833333333334
317,115,461,577,0.1996527777777778
318,118,457,576,0.2048611111111111
319,112,464,577,0.19444444444444445
320,114,462,577,0.19791666666666666
321,113,462,576,0.19618055555555555
322,116,459,576,0.2013888888888889
323,108,467,576,0.1875
324,112,463,576,0.19444444444444445
325,107,468,576,0.1857638888888889
326,96,241,338,0.16666666666666666
327,125,450,576,0.2170138888888889
328,119,456,576,0.2065972222222222
329,109,467,577,0.1892361111111111
330,122,453,576,0.21180555555555555
331,121,454,576,0.21006944444444445
332,114,461,576,0.19791666666666666
333,110,465,576,0.1909722222222222
334,114,461,576,0.19791666666666666
335,125,451,577,0.2170138888888889
336,106,470,577,0.1840277777777778
337,104,472,577,0.18055555555555555
338,127,448,576,0.2204861111111111
339,116,460,577,0.2013888888888889
340,124,452,577,0.2152777777777778
341,114,461,576,0.19791666666666666
342,112,464,577,0.19444444444444445
343,110,466,577,0.1909722222222222
344,119,456,576,0.2065972222222222
345,108,468,577,0.1875
346,125,450,576,0.2170138888888889
347,119,456,576,0.2065972222222222
348,113,462,576,0.19618055555555555
349,110,465,576,0.1909722222222222
350,123,452,576,0.21354166666666666
351,112,463,576,0.19444444444444445
352,127,448,576,0.2204861111111111
353,114,461,576,0.19791666666666666
354,110,465,576,0.1909722222222222
355,122,453,576,0.21180555555555555
356,106,469,576,0.1840277777777778
357,109,466,576,0.1892361111111111
358,113,462,576,0.19618055555555555
359,109,466,576,0.1892361111111111
360,113,462,576,0.19618055555555555
361,108,467,576,0.1875
362,113,462,576,0.19618055555555555
363,113,462,576,0.19618055555555555
364,109,466,576,0.1892361111111111
365,118,457,576,0.2048611111111111
366,113,462,576,0.19618055555555555
367,109,466,576,0.1892361111111111
368,128,447,576,0.2222222222222222
369,116,459,576,0.2013888888888889
370,107,469,577,0.1857638888888889
371,119,456,576,0.2065972222222222
372,115,460,576,0.1996527777777778
373,117,458,576,0.203125
374,102,473,576,0.17708333333333334
375,128,447,576,0.2222222222222222
376,125,450,576,0.2170138888888889
377,118,457,576,0.2048611111111111
378,119,457,577,0.2065972222222222
379,106,469,576,0.1840277777777778
380,107,469,577,0.1857638888888889
381,130,445,576,0.22569444444444445
382,117,458,576,0.203125
383,114,462,577,0.19791666666666666
384,97,478,576,0.1684027777777778
385,109,466,576,0.1892361111111111
386,122,454,577,0.21180555555555555
387,99,477,577,0.171875
388,114,461,576,0.19791666666666666
389,116,460,577,0.2013888888888889
390,91,238,330,0.1579861111111111
391,116,459,576,0.2013888888888889
392,113,463,577,0.19618055555555555
393,117,458,576,0.203125
394,114,461,576,0.19791666666666666
395,119,457,577,0.2065972222222222
396,113,462,576,0.19618055555555555
397,117,458,576,0.203125
398,118,458,577,0.2048611111111111
399,117,459,577,0.203125
400,115,460,576,0.1996527777777778
401,119,457,577,0.2065972222222222
402,125,451,577,0.2170138888888889
403,116,459,576,0.2013888888888889
404,124,451,576,0.2152777777777778
405,114,462,577,0.19791666666666666
406,110,465,576,0.1909722222222222
407,117,458,576,0.203125
408,118,458,577,0.2048611111111111
409,108,467,576,0.1875
410,110,465,576,0.1909722222222222
411,106,470,577,0.1840277777777778
412,113,462,576,0.19618055555555555
413,121,454,576,0.21006944444444445
414,110,465,576,0.1909722222222222
415,118,458,577,0.2048611111111111
416,125,451,577,0.2170138888888889
417,120,455,576,0.20833333333333334
418,107,468,576,0.1857638888888889
419,118,457,576,0.2048611111111111
420,112,463,576,0.19444444444444445
421,122,454,577,0.21180555555555555
422,113,462,576,0.19618055555555555
423,118,457,576,0.2048611111111111
424,115,461,577,0.1996527777777778
425,96,248,345,0.16666666666666666
426,116,460,577,0.2013888888888889
427,114,461,576,0.19791666666666666
428,122,453,576,0.21180555555555555
429,114,461,576,0.19791666666666666
430,115,460,576,0.1996527777777778
431,113,463,577,0.19618055555555555
432,113,462,576,0.19618055555555555
433,114,462,577,0.19791666666666666
434,111,465,577,0.19270833333333334
435,103,472,576,0.17881944444444445
436,116,460,577,0.2013888888888889
437,120,456,577,0.20833333333333334
438,111,464,576,0.19270833333333334
439,113,462,576,0.19618055555555555
440,114,461,576,0.19791666666666666
441,122,453,576,0.21180555555555555
442,130,445,576,0.22569444444444445
443,116,459,576,0.2013888888888889
444,105,471,577,0.18229166666666666
445,122,454,577,0.21180555555555555
446,122,454,577,0.21180555555555555
447,124,451,576,0.2152777777777778
448,121,454,576,0.21006944444444445
449,125,451,577,0.2170138888888889
450,121,455,577,0.21006944444444445
451,110,465,576,0.1909722222222222
452,122,454,577,0.21180555555555555
453,117,458,576,0.203125
454,108,467,576,0.1875
455,102,473,576,0.17708333333333334
456,123,453,577,0.21354166666666666
457,107,468,576,0.1857638888888889
458,114,462,577,0.19791666666666666
459,128,447,576,0.2222222222222222
460,115,460,576,0.1996527777777778
461,105,471,577,0.18229166666666666
462,113,462,576,0.19618055555555555
463,112,464,577,0.19444444444444445
464,103,473,577,0.17881944444444445
465,118,458,577,0.2048611111111111
466,124,452,577,0.2152777777777778
467,126,449,576,0.21875
468,111,465,577,0.19270833333333334
469,112,463,576,0.19444444444444445
470,100,475,576,0.1736111111111111
471,115,460,576,0.1996527777777778
472,119,457,577,0.2065972222222222
473,121,455,577,0.21006944444444445
474,116,459,576,0.2013888888888889
475,114,462,577,0.19791666666666666
476,110,466,577,0.1909722222222222
477,122,454,577,0.21180555555555555
478,122,454,577,0.21180555555555555
479,115,460,576,0.1996527777777778
480,103,472,576,0.17881944444444445
481,123,452,576,0.21354166666666666
482,108,468,577,0.1875
483,125,451,577,0.2170138888888889
484,109,466,576,0.1892361111111111
485,118,457,576,0.2048611111111111
486,118,458,577,0.2048611111111111
487,127,448,576,0.2204861111111111
488,113,462,576,0.19618055555555555
489,126,449,576,0.21875
490,122,454,577,0.21180555555555555
491,115,461,577,0.1996527777777778
492,109,466,576,0.1892361111111111
493,112,464,577,0.19444444444444445
494,105,470,576,0.18229166666666666
495,117,458,576,0.203125
496,114,462,577,0.19791666666666666
497,113,463,577,0.19618055555555555
498,115,460,576,0.1996527777777778
499,108,468,577,0.1875
