method,image_idx,ratio,n_topk,n_spatial,n_out
plus,0,0.21006944444444445,121,454,576
plus,1,0.2152777777777778,124,451,576
plus,2,0.2013888888888889,116,459,576
plus,3,0.2048611111111111,118,457,576
plus,4,0.19791666666666666,114,462,577
plus,5,0.2048611111111111,118,457,576
plus,6,0.1892361111111111,109,467,577
plus,7,0.203125,117,458,576
plus,8,0.2152777777777778,124,452,577
plus,9,0.18229166666666666,105,470,576
plus,10,0.2065972222222222,119,457,577
plus,11,0.1736111111111111,100,475,576
plus,12,0.19791666666666666,114,462,577
plus,13,0.19270833333333334,111,464,576
plus,14,0.1996527777777778,115,460,576
plus,15,0.17881944444444445,103,472,576
plus,16,0.1840277777777778,106,469,576
plus,17,0.1909722222222222,110,465,576
plus,18,0.2170138888888889,125,450,576
plus,19,0.21354166666666666,123,452,576
plus,20,0.19618055555555555,113,462,576
plus,21,0.21180555555555555,122,454,577
plus,22,0.22916666666666666,132,443,576
plus,23,0.19791666666666666,114,462,577
plus,24,0.2048611111111111,118,458,577
plus,25,0.1909722222222222,110,465,576
plus,26,0.21354166666666666,123,453,577
plus,27,0.2065972222222222,119,457,577
plus,28,0.2152777777777778,124,451,576
plus,29,0.21180555555555555,122,453,576
plus,30,0.21180555555555555,122,453,576
plus,31,0.21006944444444445,121,454,576
plus,32,0.2013888888888889,116,459,576
plus,33,0.21006944444444445,121,454,576
plus,34,0.2170138888888889,125,450,576
plus,35,0.1996527777777778,115,460,576
plus,36,0.17881944444444445,103,472,576
plus,37,0.2048611111111111,118,457,576
plus,38,0.21354166666666666,123,452,576
plus,39,0.21006944444444445,121,455,577
plus,40,0.2065972222222222,119,456,576
plus,41,0.2065972222222222,119,456,576
plus,42,0.19618055555555555,113,463,577
plus,43,0.2048611111111111,118,458,577
plus,44,0.20833333333333334,120,455,576
plus,45,0.19791666666666666,114,461,576
plus,46,0.1892361111111111,109,467,577
plus,47,0.1909722222222222,110,465,576
plus,48,0.1892361111111111,109,466,576
plus,49,0.19618055555555555,113,463,577
plus,50,0.2152777777777778,124,451,576
plus,51,0.21354166666666666,123,452,576
plus,52,0.1996527777777778,115,460,576
plus,53,0.1909722222222222,110,466,577
plus,54,0.18229166666666666,105,470,576
plus,55,0.19444444444444445,112,463,576
plus,56,0.2048611111111111,118,457,576
plus,57,0.20833333333333334,120,455,576
plus,58,0.203125,117,458,576
plus,59,0.21180555555555555,122,454,577
plus,60,0.1875,108,467,576
plus,61,0.19791666666666666,114,461,576
plus,62,0.19444444444444445,112,463,576
plus,63,0.21354166666666666,123,452,576
plus,64,0.21875,126,449,576
plus,65,0.1996527777777778,115,460,576
plus,66,0.2013888888888889,116,459,576
plus,67,0.21006944444444445,121,454,576
plus,68,0.1857638888888889,107,468,576
plus,69,0.19791666666666666,114,461,576
plus,70,0.2048611111111111,118,458,577
plus,71,0.20833333333333334,120,456,577
plus,72,0.1857638888888889,107,469,577
plus,73,0.2065972222222222,119,456,576
plus,74,0.2048611111111111,118,457,576
plus,75,0.22743055555555555,131,445,577
plus,76,0.2065972222222222,119,456,576
plus,77,0.2065972222222222,119,456,576
plus,78,0.20833333333333334,120,455,576
plus,79,0.1875,108,468,577
plus,80,0.18055555555555555,104,472,577
plus,81,0.20833333333333334,120,455,576
plus,82,0.203125,117,458,576
plus,83,0.1996527777777778,115,460,576
plus,84,0.19618055555555555,113,462,576
plus,85,0.2170138888888889,125,450,576
plus,86,0.1892361111111111,109,466,576
plus,87,0.21180555555555555,122,453,576
plus,88,0.2013888888888889,116,460,577
plus,89,0.21006944444444445,121,454,576
plus,90,0.1857638888888889,107,469,577
plus,91,0.19444444444444445,112,464,577
plus,92,0.21180555555555555,122,453,576
plus,93,0.1892361111111111,109,466,576
plus,94,0.19791666666666666,114,461,576
plus,95,0.2065972222222222,119,457,577
plus,96,0.21875,126,450,577
plus,97,0.19618055555555555,113,462,576
plus,98,0.21875,126,449,576
plus,99,0.21180555555555555,122,453,576
plus,100,0.19791666666666666,114,461,576
plus,101,0.1909722222222222,110,465,576
plus,102,0.1892361111111111,109,466,576
plus,103,0.18229166666666666,105,470,576
plus,104,0.19791666666666666,114,462,577
plus,105,0.21354166666666666,123,453,577
plus,106,0.2152777777777778,124,451,576
plus,107,0.21354166666666666,123,452,576
plus,108,0.2152777777777778,124,451,576
plus,109,0.21006944444444445,121,454,576
plus,110,0.2048611111111111,118,457,576
plus,111,0.1875,108,468,577
plus,112,0.2065972222222222,119,456,576
plus,113,0.1736111111111111,100,475,576
plus,114,0.1996527777777778,115,460,576
plus,115,0.17708333333333334,102,473,576
plus,116,0.19791666666666666,114,461,576
plus,117,0.19270833333333334,111,464,576
plus,118,0.19618055555555555,113,462,576
plus,119,0.2048611111111111,118,457,576
plus,120,0.1701388888888889,98,477,576
plus,121,0.21006944444444445,121,455,577
plus,122,0.19444444444444445,112,463,576
plus,123,0.19791666666666666,114,461,576
plus,124,0.21354166666666666,123,452,576
plus,125,0.1909722222222222,110,465,576
plus,126,0.18229166666666666,105,470,576
plus,127,0.21180555555555555,122,454,577
plus,128,0.1684027777777778,97,479,577
plus,129,0.22395833333333334,129,446,576
plus,130,0.20833333333333334,120,455,576
plus,131,0.17881944444444445,103,472,576
plus,132,0.1996527777777778,115,461,577
plus,133,0.2152777777777778,124,451,576
plus,134,0.2013888888888889,116,459,576
plus,135,0.20833333333333334,120,455,576
plus,136,0.2013888888888889,116,459,576
plus,137,0.18229166666666666,105,471,577
plus,138,0.2204861111111111,127,448,576
plus,139,0.1909722222222222,110,465,576
plus,140,0.2065972222222222,119,456,576
plus,141,0.21354166666666666,123,453,577
plus,142,0.2013888888888889,116,460,577
plus,143,0.21180555555555555,122,454,577
plus,144,0.22916666666666666,132,443,576
plus,145,0.1875,108,467,576
plus,146,0.21180555555555555,122,453,576
plus,147,0.19444444444444445,112,464,577
plus,148,0.19618055555555555,113,463,577
plus,149,0.19618055555555555,113,462,576
plus,150,0.19444444444444445,112,463,576
plus,151,0.2013888888888889,116,459,576
plus,152,0.21006944444444445,121,454,576
plus,153,0.1996527777777778,115,460,576
plus,154,0.21180555555555555,122,453,576
plus,155,0.19270833333333334,111,465,577
plus,156,0.2170138888888889,125,450,576
plus,157,0.203125,117,458,576
plus,158,0.19791666666666666,114,462,577
plus,159,0.2065972222222222,119,456,576
plus,160,0.19270833333333334,111,464,576
plus,161,0.1996527777777778,115,460,576
plus,162,0.19791666666666666,114,462,577
plus,163,0.19791666666666666,114,461,576
plus,164,0.2065972222222222,119,456,576
plus,165,0.20833333333333334,120,455,576
plus,166,0.203125,117,459,577
plus,167,0.2222222222222222,128,448,577
plus,168,0.2013888888888889,116,460,577
plus,169,0.2222222222222222,128,448,577
plus,170,0.19791666666666666,114,462,577
plus,171,0.2152777777777778,124,451,576
plus,172,0.21006944444444445,121,454,576
plus,173,0.21180555555555555,122,453,576
plus,174,0.2048611111111111,118,457,576
plus,175,0.2013888888888889,116,459,576
plus,176,0.17708333333333334,102,473,576
plus,177,0.2204861111111111,127,449,577
plus,178,0.19270833333333334,111,464,576
plus,179,0.19618055555555555,113,463,577
plus,180,0.203125,117,459,577
plus,181,0.21875,126,449,576
plus,182,0.21006944444444445,121,454,576
plus,183,0.2204861111111111,127,448,576
plus,184,0.21006944444444445,121,454,576
plus,185,0.22916666666666666,132,444,577
plus,186,0.2013888888888889,116,459,576
plus,187,0.19444444444444445,112,463,576
plus,188,0.21006944444444445,121,455,577
plus,189,0.2048611111111111,118,457,576
plus,190,0.2048611111111111,118,457,576
plus,191,0.2048611111111111,118,457,576
plus,192,0.21180555555555555,122,454,577
plus,193,0.1857638888888889,107,468,576
plus,194,0.1875,108,467,576
plus,195,0.2152777777777778,124,451,576
plus,196,0.2222222222222222,128,447,576
plus,197,0.2065972222222222,119,456,576
plus,198,0.2065972222222222,119,456,576
plus,199,0.21354166666666666,123,453,577
plus,200,0.19444444444444445,112,463,576
plus,201,0.2048611111111111,118,457,576
plus,202,0.1996527777777778,115,460,576
plus,203,0.2013888888888889,116,459,576
plus,204,0.2065972222222222,119,456,576
plus,205,0.203125,117,458,576
plus,206,0.1875,108,468,577
plus,207,0.2326388888888889,134,441,576
plus,208,0.1996527777777778,115,461,577
plus,209,0.2222222222222222,128,447,576
plus,210,0.2048611111111111,118,458,577
