Size (B),Benchmark,Seed_123,Seed_42,Seed_456,Seed_789,Average,Std Dev
"115,500",MMBENCH,71.03,70.87,70.57,71.08,70.8875,0.22983689869122687
"155,000",MMBENCH,70.82,70.87,70.55,70.85,70.7725,0.14974979131872007
"200,000",MMBENCH,70.55,70.73,70.71,71.03,70.755,0.20024984394500966
"266,240",MMBENCH,71.24,71.21,71.24,71.21,71.225,0.01732050807568943
"340,000",MMBENCH,71.37,71.56,71.65,71.4,71.495,0.1327905619136137
"420,000",MMBENCH,71.56,71.56,71.56,71.72,71.6,0.0799999999999983
"589,824",MMBENCH,71.76,71.81,71.72,71.01,71.575,0.37846179904097627
"115,500",POPE,0.7908,0.7877,0.7839,0.7891,0.787875,0.0029375443259066713
"155,000",POPE,0.7921,0.7895,0.7887,0.7904,0.790175,0.0014591664287074146
"200,000",POPE,0.7977,0.7953,0.7955,0.7973,0.79645,0.0012261049438499598
"266,240",POPE,0.8102,0.8091,0.8082,0.8091,0.80915,0.0008185352771872453
"340,000",POPE,0.8093,0.8098,0.8118,0.8093,0.8100499999999999,0.001190238071423786
"420,000",POPE,0.8097,0.8094,0.8094,0.8119,0.8101,0.0012083045973594344
"589,824",POPE,0.819,0.8148,0.8205,0.813,0.8168249999999999,0.0035103418636936385
"115,500",TEXTVQA,55.73,55.92,56.01,55.85,55.8775,0.11814539065631587
"155,000",TEXTVQA,56.08,56.2,55.99,55.66,55.9825,0.23157072353819047
"200,000",TEXTVQA,56.23,56.07,56.25,56.2,56.1875,0.08098353742170841
"266,240",TEXTVQA,56.12,56.21,56.24,56.21,56.195,0.05196152422706829
"340,000",TEXTVQA,56.26,56.19,56.34,56.23,56.254999999999995,0.0635085296108615
"420,000",TEXTVQA,56.22,56.32,56.32,56.22,56.269999999999996,0.0577350269189634
"589,824",TEXTVQA,55.53,55.41,55.36,56.01,55.5775,0.2970269348055827
