method,image_idx,n_out
advanced,0,26
advanced,1,15
advanced,2,24
advanced,3,52
advanced,4,31
advanced,5,19
advanced,6,43
advanced,7,40
advanced,8,48
advanced,9,35
advanced,10,53
advanced,11,46
advanced,12,59
advanced,13,57
advanced,14,55
advanced,15,21
advanced,16,20
advanced,17,50
advanced,18,35
advanced,19,50
advanced,20,98
advanced,21,44
advanced,22,42
advanced,23,20
advanced,24,57
advanced,25,24
advanced,26,39
advanced,27,51
advanced,28,74
advanced,29,52
advanced,30,52
advanced,31,56
advanced,32,69
advanced,33,19
advanced,34,34
advanced,35,12
advanced,36,55
advanced,37,12
advanced,38,54
advanced,39,39
advanced,40,36
advanced,41,28
advanced,42,28
advanced,43,39
advanced,44,22
advanced,45,35
advanced,46,49
advanced,47,31
advanced,48,49
advanced,49,77
advanced,50,38
advanced,51,41
advanced,52,19
advanced,53,9
advanced,54,26
advanced,55,12
advanced,56,32
advanced,57,66
advanced,58,33
advanced,59,43
advanced,60,57
advanced,61,51
advanced,62,38
advanced,63,31
advanced,64,16
advanced,65,45
advanced,66,64
advanced,67,31
advanced,68,56
advanced,69,46
advanced,70,28
advanced,71,47
advanced,72,63
advanced,73,54
advanced,74,50
advanced,75,82
advanced,76,57
advanced,77,46
advanced,78,44
advanced,79,55
advanced,80,41
advanced,81,42
advanced,82,39
advanced,83,47
advanced,84,33
advanced,85,32
advanced,86,34
advanced,87,50
advanced,88,8
advanced,89,33
advanced,90,26
advanced,91,45
advanced,92,36
advanced,93,32
advanced,94,54
advanced,95,48
advanced,96,52
advanced,97,31
advanced,98,32
advanced,99,39
advanced,100,37
advanced,101,35
advanced,102,42
advanced,103,39
advanced,104,46
advanced,105,37
advanced,106,34
advanced,107,38
advanced,108,35
advanced,109,39
advanced,110,28
advanced,111,45
advanced,112,52
advanced,113,42
advanced,114,36
advanced,115,41
advanced,116,41
advanced,117,31
advanced,118,16
advanced,119,39
advanced,120,39
advanced,121,48
advanced,122,45
advanced,123,43
advanced,124,46
advanced,125,17
advanced,126,31
advanced,127,42
advanced,128,36
advanced,129,32
advanced,130,54
advanced,131,41
advanced,132,36
advanced,133,42
advanced,134,32
advanced,135,47
advanced,136,38
advanced,137,35
advanced,138,31
advanced,139,36
advanced,140,42
advanced,141,57
advanced,142,75
advanced,143,34
advanced,144,65
advanced,145,61
