method,image_idx,n_out
advanced,0,25
advanced,1,38
advanced,2,22
advanced,3,43
advanced,4,19
advanced,5,22
advanced,6,35
advanced,7,64
advanced,8,28
advanced,9,30
advanced,10,33
advanced,11,34
advanced,12,37
advanced,13,32
advanced,14,10
advanced,15,24
advanced,16,9
advanced,17,35
advanced,18,30
advanced,19,72
advanced,20,32
advanced,21,24
advanced,22,13
advanced,23,31
advanced,24,30
advanced,25,37
advanced,26,33
advanced,27,42
advanced,28,20
advanced,29,29
advanced,30,46
advanced,31,39
advanced,32,38
advanced,33,35
advanced,34,36
advanced,35,54
advanced,36,25
advanced,37,63
advanced,38,10
advanced,39,21
advanced,40,19
advanced,41,43
advanced,42,49
advanced,43,27
advanced,44,26
advanced,45,34
advanced,46,50
advanced,47,44
advanced,48,35
advanced,49,38
advanced,50,36
advanced,51,30
advanced,52,25
advanced,53,31
advanced,54,52
advanced,55,36
advanced,56,32
advanced,57,29
advanced,58,33
advanced,59,19
advanced,60,61
advanced,61,32
advanced,62,40
advanced,63,34
advanced,64,40
advanced,65,26
advanced,66,45
advanced,67,40
advanced,68,49
advanced,69,59
advanced,70,22
advanced,71,25
advanced,72,13
advanced,73,49
advanced,74,41
advanced,75,29
advanced,76,27
advanced,77,25
advanced,78,19
advanced,79,35
advanced,80,33
advanced,81,33
advanced,82,17
advanced,83,37
advanced,84,43
advanced,85,51
advanced,86,39
advanced,87,34
advanced,88,11
advanced,89,45
advanced,90,46
advanced,91,29
advanced,92,75
advanced,93,24
advanced,94,27
advanced,95,33
advanced,96,36
advanced,97,17
advanced,98,28
advanced,99,37
advanced,100,45
advanced,101,25
advanced,102,26
advanced,103,61
advanced,104,36
advanced,105,35
advanced,106,48
advanced,107,47
advanced,108,28
advanced,109,39
advanced,110,43
advanced,111,48
advanced,112,45
advanced,113,78
advanced,114,44
advanced,115,18
advanced,116,41
advanced,117,9
advanced,118,28
advanced,119,29
advanced,120,45
advanced,121,32
advanced,122,27
advanced,123,14
advanced,124,25
advanced,125,41
advanced,126,40
advanced,127,87
advanced,128,41
advanced,129,34
advanced,130,37
advanced,131,13
advanced,132,53
advanced,133,50
advanced,134,42
advanced,135,27
advanced,136,14
advanced,137,41
advanced,138,28
advanced,139,42
advanced,140,42
advanced,141,32
advanced,142,38
advanced,143,17
advanced,144,31
advanced,145,18
advanced,146,19
advanced,147,64
advanced,148,42
advanced,149,33
advanced,150,63
advanced,151,93
advanced,152,44
advanced,153,45
advanced,154,23
advanced,155,50
advanced,156,22
advanced,157,40
advanced,158,26
advanced,159,58
advanced,160,25
advanced,161,31
advanced,162,39
advanced,163,49
advanced,164,30
advanced,165,50
advanced,166,33
advanced,167,29
advanced,168,24
advanced,169,44
advanced,170,54
advanced,171,39
advanced,172,29
advanced,173,38
advanced,174,45
advanced,175,27
advanced,176,11
advanced,177,19
advanced,178,53
advanced,179,32
advanced,180,34
advanced,181,30
advanced,182,21
advanced,183,69
advanced,184,26
advanced,185,5
advanced,186,33
advanced,187,32
advanced,188,24
advanced,189,59
advanced,190,56
advanced,191,22
advanced,192,22
advanced,193,27
advanced,194,34
advanced,195,22
advanced,196,39
advanced,197,42
advanced,198,30
advanced,199,40
advanced,200,25
advanced,201,38
