method,image_idx,n_out
plus,0,96
plus,1,146
plus,2,84
plus,3,175
plus,4,77
plus,5,81
plus,6,142
plus,7,232
plus,8,105
plus,9,120
plus,10,126
plus,11,141
plus,12,145
plus,13,124
plus,14,38
plus,15,95
plus,16,31
plus,17,145
plus,18,119
plus,19,324
plus,20,125
plus,21,92
plus,22,49
plus,23,124
plus,24,118
plus,25,143
plus,26,123
plus,27,176
plus,28,77
plus,29,119
plus,30,178
plus,31,147
plus,32,148
plus,33,148
plus,34,144
plus,35,234
plus,36,93
plus,37,233
plus,38,38
plus,39,82
plus,40,75
plus,41,174
plus,42,180
plus,43,105
plus,44,107
plus,45,144
plus,46,220
plus,47,181
plus,48,144
plus,49,146
plus,50,145
plus,51,124
plus,52,95
plus,53,125
plus,54,226
plus,55,142
plus,56,123
plus,57,118
plus,58,124
plus,59,77
plus,60,228
plus,61,126
plus,62,177
plus,63,146
plus,64,175
plus,65,108
plus,66,180
plus,67,175
plus,68,178
plus,69,229
plus,70,86
plus,71,95
plus,72,49
plus,73,182
plus,74,173
plus,75,120
plus,76,106
plus,77,94
plus,78,74
plus,79,143
plus,80,121
plus,81,124
plus,82,64
plus,83,143
plus,84,175
plus,85,225
plus,86,145
plus,87,142
plus,88,41
plus,89,176
plus,90,180
plus,91,122
plus,92,326
plus,93,94
plus,94,105
plus,95,121
plus,96,145
plus,97,65
plus,98,105
plus,99,145
plus,100,178
plus,101,95
plus,102,107
plus,103,237
plus,104,144
plus,105,145
plus,106,182
plus,107,182
plus,108,108
plus,109,145
plus,110,181
plus,111,182
plus,112,177
plus,113,332
plus,114,182
plus,115,70
plus,116,172
plus,117,33
plus,118,105
plus,119,119
plus,120,173
plus,121,123
plus,122,107
plus,123,55
plus,124,93
plus,125,180
plus,126,176
plus,127,329
plus,128,177
plus,129,139
plus,130,145
plus,131,48
plus,132,225
plus,133,224
plus,134,172
plus,135,106
plus,136,54
plus,137,175
plus,138,107
plus,139,176
plus,140,174
plus,141,125
plus,142,144
plus,143,64
plus,144,121
plus,145,70
plus,146,75
plus,147,239
plus,148,174
plus,149,125
plus,150,232
plus,151,337
plus,152,177
plus,153,180
plus,154,94
plus,155,222
plus,156,81
plus,157,173
plus,158,105
plus,159,232
plus,160,95
plus,161,114
plus,162,146
plus,163,184
plus,164,120
plus,165,225
plus,166,127
plus,167,120
plus,168,93
plus,169,167
plus,170,233
plus,171,143
plus,172,121
plus,173,145
plus,174,178
plus,175,107
plus,176,41
