method,image_idx,n_out
advanced,0,31
advanced,1,98
advanced,2,33
advanced,3,37
advanced,4,22
advanced,5,7
advanced,6,36
advanced,7,52
advanced,8,19
advanced,9,17
advanced,10,70
advanced,11,35
advanced,12,55
advanced,13,41
advanced,14,9
advanced,15,32
advanced,16,56
advanced,17,43
advanced,18,30
advanced,19,36
advanced,20,39
advanced,21,28
advanced,22,31
advanced,23,15
advanced,24,38
advanced,25,24
advanced,26,36
advanced,27,37
advanced,28,27
advanced,29,26
advanced,30,36
advanced,31,32
advanced,32,32
advanced,33,25
advanced,34,53
advanced,35,25
advanced,36,40
advanced,37,52
advanced,38,31
advanced,39,42
advanced,40,10
advanced,41,22
advanced,42,50
advanced,43,38
advanced,44,9
advanced,45,20
advanced,46,65
advanced,47,68
advanced,48,24
advanced,49,55
advanced,50,67
advanced,51,37
advanced,52,11
advanced,53,27
advanced,54,39
advanced,55,30
advanced,56,41
advanced,57,32
advanced,58,35
advanced,59,30
advanced,60,45
advanced,61,9
advanced,62,39
advanced,63,30
advanced,64,20
advanced,65,20
advanced,66,21
advanced,67,42
advanced,68,25
advanced,69,42
advanced,70,39
advanced,71,14
advanced,72,26
advanced,73,25
advanced,74,48
advanced,75,60
advanced,76,32
advanced,77,36
advanced,78,66
advanced,79,53
advanced,80,25
advanced,81,22
advanced,82,52
advanced,83,27
advanced,84,35
advanced,85,48
advanced,86,21
advanced,87,33
advanced,88,28
advanced,89,34
advanced,90,34
advanced,91,40
advanced,92,34
advanced,93,19
advanced,94,38
advanced,95,44
advanced,96,22
advanced,97,26
advanced,98,23
advanced,99,28
advanced,100,36
advanced,101,22
advanced,102,42
advanced,103,58
advanced,104,28
advanced,105,46
advanced,106,50
advanced,107,27
advanced,108,40
advanced,109,21
advanced,110,24
advanced,111,36
advanced,112,61
advanced,113,35
advanced,114,28
advanced,115,51
advanced,116,22
advanced,117,35
advanced,118,25
advanced,119,26
advanced,120,31
advanced,121,17
advanced,122,17
advanced,123,28
advanced,124,37
advanced,125,22
advanced,126,12
advanced,127,26
advanced,128,32
advanced,129,29
advanced,130,15
advanced,131,29
