method,image_idx,n_out
plus,0,121
plus,1,576
plus,2,125
plus,3,147
plus,4,83
plus,5,25
plus,6,145
plus,7,227
plus,8,75
plus,9,63
plus,10,323
plus,11,145
plus,12,227
plus,13,174
plus,14,31
plus,15,123
plus,16,230
plus,17,180
plus,18,119
plus,19,147
plus,20,147
plus,21,108
plus,22,121
plus,23,60
plus,24,147
plus,25,95
plus,26,146
plus,27,144
plus,28,105
plus,29,104
plus,30,143
plus,31,125
plus,32,126
plus,33,91
plus,34,229
plus,35,93
plus,36,174
plus,37,226
plus,38,122
plus,39,180
plus,40,37
plus,41,81
plus,42,224
plus,43,144
plus,44,32
plus,45,76
plus,46,238
plus,47,326
plus,48,95
plus,49,237
plus,50,324
plus,51,142
plus,52,41
plus,53,108
plus,54,148
plus,55,122
plus,56,179
plus,57,122
plus,58,146
plus,59,118
plus,60,180
plus,61,33
plus,62,146
plus,63,123
plus,64,74
plus,65,78
plus,66,82
plus,67,179
plus,68,97
plus,69,177
plus,70,146
plus,71,54
plus,72,105
plus,73,93
plus,74,181
plus,75,238
plus,76,122
plus,77,143
plus,78,322
plus,79,230
plus,80,95
plus,81,81
plus,82,225
plus,83,105
plus,84,144
plus,85,180
plus,86,83
plus,87,124
plus,88,109
plus,89,145
plus,90,139
plus,91,171
plus,92,141
plus,93,74
plus,94,145
plus,95,178
plus,96,83
plus,97,103
plus,98,91
plus,99,107
plus,100,145
plus,101,84
plus,102,173
plus,103,229
plus,104,105
plus,105,175
plus,106,226
plus,107,107
plus,108,168
plus,109,79
plus,110,94
plus,111,145
plus,112,232
plus,113,147
plus,114,108
plus,115,229
plus,116,85
plus,117,141
plus,118,91
plus,119,105
plus,120,125
plus,121,65
plus,122,64
plus,123,107
plus,124,145
plus,125,83
plus,126,45
plus,127,106
plus,128,127
plus,129,121
plus,130,60
plus,131,121
plus,132,142
plus,133,235
plus,134,146
plus,135,124
plus,136,58
plus,137,109
plus,138,186
plus,139,108
plus,140,56
plus,141,118
plus,142,124
plus,143,105
plus,144,106
plus,145,322
plus,146,92
plus,147,46
plus,148,229
plus,149,176
plus,150,71
plus,151,228
plus,152,120
plus,153,70
plus,154,174
plus,155,42
plus,156,46
plus,157,77
plus,158,105
plus,159,122
plus,160,146
plus,161,95
plus,162,330
plus,163,29
plus,164,75
plus,165,36
plus,166,103
plus,167,63
plus,168,65
plus,169,94
plus,170,143
plus,171,149
plus,172,135
plus,173,24
plus,174,146
plus,175,65
plus,176,75
plus,177,123
plus,178,122
plus,179,143
plus,180,83
plus,181,148
plus,182,220
plus,183,147
plus,184,186
plus,185,178
plus,186,180
plus,187,71
plus,188,63
plus,189,173
plus,190,144
plus,191,123
plus,192,125
plus,193,78
plus,194,118
plus,195,92
plus,196,93
plus,197,104
plus,198,231
plus,199,222
plus,200,176
plus,201,175
plus,202,107
plus,203,121
plus,204,121
plus,205,174
plus,206,179
plus,207,83
plus,208,326
plus,209,58
plus,210,233
plus,211,65
plus,212,227
plus,213,105
plus,214,174
plus,215,145
plus,216,38
plus,217,95
plus,218,123
plus,219,53
plus,220,123
plus,221,95
plus,222,123
plus,223,143
plus,224,96
plus,225,75
plus,226,107
plus,227,178
plus,228,83
plus,229,150
plus,230,177
plus,231,64
plus,232,139
plus,233,94
plus,234,124
plus,235,123
plus,236,119
plus,237,321
plus,238,122
plus,239,63
plus,240,177
plus,241,227
plus,242,46
plus,243,83
plus,244,177
plus,245,177
plus,246,180
plus,247,122
plus,248,120
plus,249,106
plus,250,173
plus,251,120
plus,252,124
plus,253,70
plus,254,107
plus,255,104
plus,256,177
plus,257,144
plus,258,148
plus,259,121
plus,260,124
plus,261,229
plus,262,177
plus,263,81
plus,264,144
plus,265,226
plus,266,108
plus,267,224
plus,268,76
plus,269,183
plus,270,141
plus,271,41
plus,272,141
plus,273,230
plus,274,96
plus,275,141
plus,276,95
plus,277,146
plus,278,124
plus,279,170
plus,280,105
plus,281,181
plus,282,59
plus,283,173
plus,284,179
plus,285,85
plus,286,60
plus,287,149
plus,288,227
plus,289,121
plus,290,55
plus,291,125
plus,292,94
plus,293,124
plus,294,25
plus,295,38
plus,296,122
plus,297,326
plus,298,123
plus,299,78
plus,300,83
plus,301,123
plus,302,124
plus,303,178
plus,304,62
plus,305,172
plus,306,84
plus,307,122
plus,308,179
plus,309,143
plus,310,178
plus,311,89
plus,312,68
plus,313,227
plus,314,180
plus,315,85
plus,316,147
plus,317,74
plus,318,144
plus,319,228
plus,320,147
plus,321,145
plus,322,108
plus,323,229
plus,324,227
plus,325,235
plus,326,182
plus,327,174
plus,328,75
plus,329,141
plus,330,140
plus,331,56
plus,332,42
plus,333,176
plus,334,64
plus,335,94
plus,336,178
plus,337,228
plus,338,235
plus,339,174
plus,340,123
plus,341,119
plus,342,120
plus,343,124
plus,344,176
plus,345,108
plus,346,75
plus,347,178
plus,348,71
plus,349,92
plus,350,83
plus,351,237
plus,352,145
plus,353,328
plus,354,85
plus,355,230
plus,356,176
plus,357,145
plus,358,122
plus,359,105
plus,360,176
plus,361,237
plus,362,143
plus,363,80
plus,364,61
plus,365,84
plus,366,174
plus,367,145
plus,368,144
plus,369,317
plus,370,225
plus,371,144
